	Provider	InstrumentID	InstrumentType	QuoteType	Field	EffectiveAt	Value	Unit	Lineage	CutLabel	UploadedBy	AsAt
95	TraderMade	RUB/AUD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.0216	RUB			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
96	TraderMade	EUR/INR	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	82.14092	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
97	TraderMade	EUR/BRL	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	5.5063	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
98	TraderMade	ZAR/GBP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.04856	ZAR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
99	TraderMade	GBP/CZK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	29.82315	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
100	TraderMade	EUR/COP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	4444.06641	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
101	TraderMade	DKK/NOK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1.6635	DKK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
102	TraderMade	EUR/MYR	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	4.76802	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
103	TraderMade	JPY/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.00899	JPY			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
104	TraderMade	SEK/JPY	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	10.74685	SEK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
105	TraderMade	PLN/CHF	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.22897	PLN			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
106	TraderMade	NZD/DKK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	3.98225	NZD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
107	TraderMade	USD/ARS	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	63.6938	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
108	TraderMade	DKK/JPY	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	15.97765	DKK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
109	TraderMade	AUD/GBP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.50468	AUD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
110	TraderMade	CLP/EUR	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.00108	CLP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
111	TraderMade	GBP/MYR	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	5.12275	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
112	TraderMade	USD/CLP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	860.61157	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
113	TraderMade	NOK/EUR	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.08049	NOK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
114	TraderMade	CHF/NZD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1.77549	CHF			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
115	TraderMade	CHF/DKK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	7.06965	CHF			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
116	TraderMade	USD/TWD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	30.26633	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
117	TraderMade	CHF/GBP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.87946	CHF			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
118	TraderMade	USD/ISK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	141.15448	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
119	TraderMade	MYR/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.22512	MYR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
120	TraderMade	EUR/PHP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	54.9934	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
121	TraderMade	SEK/DKK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.67274	SEK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
122	TraderMade	SEK/NOK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	1.11867	SEK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
123	TraderMade	JPY/EUR	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.83801	JPY			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
124	TraderMade	ARS/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.0157	ARS			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
125	TraderMade	EUR/CLP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	923.57117	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
126	TraderMade	HRK/EUR	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.13143	HRK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
127	TraderMade	USD/PHP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	51.25577	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
128	TraderMade	GBP/NOK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	13.37325	GBP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
129	TraderMade	PEN/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.28297	PEN			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
130	TraderMade	SEK/CZK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	2.501	SEK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
131	TraderMade	SGD/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.68484	SGD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
132	TraderMade	THB/GBP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.02647	THB			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
133	TraderMade	PHP/USD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.01951	PHP			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
134	TraderMade	ISK/CHF	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.00697	ISK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
135	TraderMade	EUR/CZK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	27.801	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
136	TraderMade	AUD/BRL	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	2.98326	AUD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
137	TraderMade	CAD/SEK	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	7.12676	CAD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
138	TraderMade	EUR/MAD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	10.5104	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
139	TraderMade	DKK/CHF	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.14145	DKK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
140	TraderMade	DKK/GBP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.12439	DKK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
141	TraderMade	MXN/BRL	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.20256	MXN			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
142	TraderMade	SEK/GBP	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	0.08372	SEK			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
143	TraderMade	USD/RON	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	4.5083	USD			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:47.115868+00:00
144	TraderMade	EUR/HKD	CurrencyPair	Price	close	2020-03-23T00:00:00.0000000+00:00	8.31907	EUR			00u4edvyh4xFY1Yei2p7	2020-03-25 16:26:50.951271+00:00
